word num,number,word,"factor 1 - positive (happy, fun, bright vs. sad, boring, dark)","factor 2 - ordinary (cheap, basic, common vs. expensive, fancy, rare)","factor 3 - put together (organized, proper, sane vs. chaotic, scandalous, crazy)","factor 4 - little (small, quiet, thin vs. large, loud, thick)","factor 5 - smooth (soft, chewy, rounded vs hard, crunchy, angular)","1 : [-small-, -large-]","2 : [-angular-, -rounded-]","3 : [-fast-, -slow-]","4 : [-bright-, -dark-]","5 : [-sophisticated-, -rugged-]","6 : [-short-term-, -long-term-]","7 : [-happy-, -sad-]","8 : [-masculine-, -feminine-]","9 : [-few-, -many-]","10 : [-low-tech-, -high-tech-]","11 : [-cheap-, -expensive-]","12 : [-colorful-, -monochrome-]","13 : [-sharp-, -blunt-]","14 : [-old-, -new-]","15 : [-emotional-, -logical-]","16 : [-angry-, -calm-]","17 : [-linear-, -circular-]","18 : [-loud-, -quiet-]","19 : [-bad-, -good-]","20 : [-friendly-, -hostile-]","21 : [-social-, -recusive-]","22 : [-industrial-, -domestic-]","23 : [-angelic-, -demonic-]","24 : [-organized-, -chaotic-]","25 : [-human-, -animal-]","26 : [-lewd-, -tasteful-]","27 : [-proper-, -scandalous-]","28 : [-healthy-, -sick-]","29 : [-near-, -far-]","30 : [-important-, -irrelevant-]","31 : [-dead-, -alive-]","32 : [-weird-, -normal-]"
W#198,198, mopa,0.35,0.61,0.36,0.41,0.75,0.515,0.754,0.657,0.572,0.63,0.44,0.74,0.533,0.709,0.309,0.336,0.603,0.756,0.33,0.225,0.543,0.754,0.514,0.437,0.372,0.543,0.585,0.557,0.672,0.726,0.415,0.5,0.727,0.521,0.63,0.308,0.36
W#212,212, looz,0.4,0.62,0.13,0.51,0.75,0.582,0.723,0.73,0.482,0.646,0.462,0.713,0.451,0.449,0.161,0.209,0.525,0.725,0.237,0.336,0.603,0.686,0.484,0.257,0.426,0.645,0.627,0.654,0.881,0.698,0.246,0.887,0.861,0.684,0.848,0.39,0.235
W#258," ""258"" ", mupo,0.34,0.64,0.37,0.42,0.75,0.509,0.766,0.692,0.664,0.741,0.41,0.658,0.244,0.741,0.285,0.308,0.521,0.794,0.442,0.328,0.646,0.747,0.595,0.352,0.394,0.617,0.636,0.679,0.652,0.755,0.405,0.551,0.759,0.54,0.618,0.315,0.345
W#390," ""390"" ", wulb,0.38,0.66,0.33,0.36,0.75,0.535,0.859,0.81,0.471,0.691,0.383,0.725,0.435,0.543,0.307,0.264,0.625,0.859,0.283,0.328,0.728,0.823,0.466,0.346,0.311,0.673,0.487,0.624,0.648,0.836,0.308,0.691,0.809,0.479,0.788,0.42,0.232
W#26,26, doy,0.51,0.68,0.41,0.45,0.75,0.36,0.793,0.701,0.49,0.616,0.317,0.418,0.358,0.466,0.201,0.24,0.561,0.788,0.316,0.37,0.658,0.735,0.412,0.413,0.262,0.582,0.695,0.535,0.555,0.645,0.339,0.586,0.585,0.472,0.753,0.311,0.311
W#539," ""539"" ", yoffa,0.6,0.54,0.3,0.34,0.74,0.591,0.728,0.515,0.492,0.611,0.322,0.273,0.642,0.545,0.302,0.344,0.319,0.682,0.383,0.425,0.511,0.517,0.32,0.648,0.321,0.468,0.69,0.612,0.63,0.726,0.482,0.677,0.515,0.764,0.664,0.519,0.163
W#360," ""360"" ", wulo,0.46,0.45,0.31,0.38,0.74,0.626,0.804,0.736,0.508,0.489,0.574,0.661,0.561,0.65,0.301,0.462,0.41,0.763,0.314,0.315,0.588,0.766,0.433,0.463,0.409,0.583,0.659,0.614,0.62,0.765,0.31,0.664,0.672,0.669,0.672,0.49,0.251
W#61,61, guw,0.32,0.62,0.3,0.39,0.74,0.568,0.616,0.745,0.709,0.788,0.326,0.665,0.253,0.408,0.301,0.325,0.703,0.763,0.323,0.333,0.393,0.671,0.507,0.636,0.453,0.695,0.471,0.743,0.712,0.761,0.221,0.716,0.859,0.582,0.778,0.218,0.268
W#49,49, gob,0.3,0.67,0.25,0.22,0.74,0.679,0.858,0.623,0.713,0.825,0.261,0.689,0.139,0.644,0.248,0.371,0.58,0.831,0.185,0.321,0.286,0.897,0.241,0.35,0.597,0.593,0.517,0.772,0.815,0.682,0.228,0.724,0.839,0.48,0.805,0.257,0.175
W#501," ""501"" ", tubtub,0.66,0.67,0.32,0.28,0.74,0.667,0.794,0.621,0.352,0.776,0.183,0.352,0.312,0.667,0.151,0.292,0.522,0.845,0.365,0.263,0.699,0.779,0.402,0.642,0.155,0.525,0.7,0.451,0.586,0.672,0.395,0.638,0.656,0.321,0.788,0.35,0.263
W#228,228, bew,0.41,0.58,0.4,0.55,0.74,0.318,0.685,0.39,0.45,0.596,0.302,0.685,0.442,0.486,0.264,0.324,0.598,0.673,0.53,0.423,0.609,0.619,0.525,0.369,0.438,0.598,0.496,0.58,0.618,0.769,0.356,0.563,0.739,0.388,0.772,0.319,0.361
W#259," ""259"" ", muno,0.32,0.57,0.52,0.57,0.73,0.38,0.763,0.719,0.683,0.526,0.398,0.698,0.176,0.595,0.383,0.557,0.803,0.74,0.624,0.458,0.728,0.583,0.718,0.417,0.307,0.664,0.621,0.589,0.405,0.357,0.443,0.408,0.692,0.394,0.515,0.343,0.447
W#512," ""512"" ", bushi,0.64,0.46,0.25,0.35,0.73,0.512,0.752,0.438,0.346,0.684,0.215,0.386,0.511,0.736,0.338,0.584,0.249,0.537,0.47,0.287,0.315,0.764,0.462,0.488,0.512,0.376,0.692,0.577,0.735,0.829,0.358,0.686,0.453,0.434,0.667,0.522,0.212
W#33,33, duw,0.21,0.66,0.42,0.55,0.73,0.381,0.725,0.828,0.731,0.74,0.302,0.802,0.451,0.318,0.2,0.298,0.76,0.817,0.374,0.355,0.578,0.66,0.709,0.306,0.457,0.765,0.549,0.672,0.551,0.73,0.336,0.591,0.77,0.495,0.785,0.227,0.421
W#288," ""288"" ", luvo,0.73,0.24,0.43,0.35,0.72,0.69,0.686,0.699,0.241,0.254,0.64,0.311,0.547,0.625,0.417,0.765,0.283,0.603,0.673,0.321,0.785,0.661,0.391,0.758,0.192,0.333,0.633,0.317,0.435,0.547,0.528,0.593,0.317,0.504,0.459,0.797,0.322
W#11,11, buw,0.29,0.57,0.34,0.39,0.72,0.475,0.773,0.721,0.582,0.694,0.301,0.781,0.37,0.355,0.25,0.465,0.57,0.806,0.447,0.33,0.534,0.717,0.439,0.411,0.436,0.631,0.525,0.659,0.679,0.792,0.345,0.653,0.831,0.47,0.788,0.292,0.275
W#225,225, susop,0.46,0.48,0.35,0.52,0.72,0.436,0.623,0.573,0.518,0.318,0.231,0.643,0.564,0.654,0.403,0.468,0.438,0.481,0.392,0.496,0.588,0.762,0.655,0.467,0.536,0.375,0.576,0.673,0.633,0.681,0.479,0.669,0.743,0.588,0.678,0.505,0.308
W#9,9, bum,0.21,0.86,0.17,0.33,0.72,0.534,0.905,0.815,0.762,0.903,0.161,0.825,0.279,0.385,0.102,0.14,0.772,0.932,0.147,0.193,0.396,0.846,0.405,0.167,0.553,0.779,0.712,0.71,0.897,0.368,0.204,0.849,0.849,0.487,0.874,0.189,0.339
W#144,144, yob,0.45,0.66,0.34,0.29,0.72,0.585,0.791,0.672,0.567,0.727,0.331,0.534,0.254,0.522,0.234,0.27,0.568,0.762,0.307,0.323,0.458,0.798,0.24,0.449,0.484,0.5,0.583,0.707,0.714,0.575,0.354,0.593,0.722,0.513,0.696,0.372,0.198
W#479," ""479"" ", maluba,0.52,0.37,0.31,0.28,0.72,0.723,0.723,0.711,0.448,0.506,0.507,0.525,0.403,0.835,0.379,0.658,0.302,0.745,0.405,0.351,0.59,0.749,0.351,0.37,0.4,0.5,0.636,0.659,0.667,0.76,0.505,0.688,0.679,0.629,0.571,0.522,0.3
W#551," ""551"" ", yammoe,0.61,0.48,0.36,0.41,0.71,0.511,0.659,0.689,0.386,0.675,0.535,0.333,0.506,0.709,0.31,0.5,0.466,0.766,0.337,0.354,0.615,0.663,0.451,0.673,0.35,0.449,0.67,0.469,0.649,0.693,0.62,0.602,0.57,0.674,0.594,0.468,0.265
W#240,240, ora,0.75,0.27,0.57,0.41,0.71,0.665,0.811,0.526,0.209,0.25,0.52,0.249,0.807,0.64,0.558,0.82,0.243,0.531,0.513,0.281,0.633,0.837,0.427,0.733,0.316,0.357,0.657,0.231,0.35,0.565,0.7,0.462,0.31,0.571,0.258,0.749,0.577
W#556," ""556"" ", loodon,0.33,0.45,0.31,0.32,0.71,0.702,0.772,0.745,0.61,0.591,0.705,0.738,0.387,0.667,0.178,0.656,0.593,0.76,0.268,0.473,0.55,0.582,0.333,0.459,0.465,0.512,0.439,0.631,0.675,0.697,0.349,0.648,0.762,0.747,0.694,0.338,0.224
W#230,230, doa,0.44,0.45,0.46,0.45,0.71,0.545,0.773,0.585,0.633,0.405,0.443,0.504,0.779,0.653,0.446,0.589,0.533,0.669,0.283,0.406,0.747,0.727,0.549,0.557,0.266,0.477,0.758,0.524,0.557,0.754,0.505,0.466,0.53,0.611,0.541,0.321,0.424
W#515," ""515"" ", yammel,0.62,0.58,0.33,0.37,0.7,0.523,0.629,0.455,0.303,0.549,0.457,0.313,0.409,0.699,0.283,0.372,0.43,0.571,0.31,0.388,0.51,0.614,0.295,0.535,0.326,0.387,0.591,0.52,0.677,0.783,0.52,0.689,0.578,0.607,0.734,0.573,0.403
W#546," ""546"" ", winooze,0.52,0.39,0.25,0.5,0.7,0.473,0.61,0.565,0.469,0.543,0.456,0.495,0.611,0.692,0.329,0.524,0.438,0.463,0.468,0.238,0.628,0.748,0.51,0.527,0.396,0.5,0.583,0.495,0.696,0.785,0.483,0.735,0.758,0.598,0.727,0.439,0.109
W#22,22, dob,0.27,0.71,0.44,0.42,0.7,0.389,0.847,0.776,0.792,0.739,0.171,0.734,0.174,0.341,0.194,0.231,0.748,0.891,0.201,0.443,0.554,0.751,0.479,0.407,0.392,0.672,0.696,0.757,0.592,0.703,0.39,0.505,0.747,0.469,0.804,0.179,0.262
W#525," ""525"" ", glomtom,0.32,0.54,0.33,0.29,0.7,0.735,0.715,0.82,0.67,0.621,0.647,0.667,0.25,0.667,0.367,0.557,0.602,0.762,0.25,0.301,0.405,0.684,0.5,0.327,0.608,0.607,0.494,0.709,0.685,0.631,0.394,0.564,0.74,0.6,0.681,0.326,0.214
W#103,103, seh,0.29,0.63,0.45,0.7,0.7,0.202,0.559,0.627,0.5,0.544,0.192,0.786,0.585,0.283,0.341,0.313,0.701,0.452,0.341,0.305,0.692,0.604,0.803,0.333,0.461,0.61,0.583,0.6,0.647,0.517,0.349,0.616,0.786,0.517,0.821,0.41,0.418
W#454," ""454"" ", alo,0.65,0.55,0.54,0.57,0.7,0.415,0.639,0.691,0.278,0.5,0.37,0.363,0.486,0.545,0.425,0.478,0.482,0.538,0.448,0.443,0.809,0.631,0.513,0.78,0.219,0.434,0.657,0.233,0.474,0.65,0.463,0.359,0.5,0.635,0.574,0.752,0.449
W#532," ""532"" ", seiliu,0.52,0.31,0.47,0.77,0.7,0.212,0.604,0.667,0.363,0.313,0.371,0.622,0.719,0.506,0.595,0.648,0.448,0.488,0.54,0.471,0.828,0.68,0.778,0.648,0.402,0.45,0.593,0.407,0.506,0.581,0.505,0.543,0.688,0.562,0.587,0.513,0.325
W#359," ""359"" ", hulo,0.67,0.45,0.35,0.38,0.7,0.653,0.822,0.595,0.283,0.525,0.399,0.355,0.29,0.609,0.565,0.458,0.36,0.716,0.549,0.412,0.693,0.861,0.391,0.691,0.245,0.47,0.6,0.328,0.647,0.382,0.492,0.632,0.371,0.655,0.505,0.659,0.346
